Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range,Normalized Title
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,Florida,Alachua County Public Schools,2023-2024,beyond magenta: transgender teens speak out
Last Night at the Telegraph Club,"Lo, Malinda",,,,Florida,Alachua County Public Schools,2023-2024,last night at the telegraph club
Empire of Storms,"Maas, Sarah J.",,,,Florida,Alachua County Public Schools,2023-2024,empire of storms
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,Florida,Alachua County Public Schools,2023-2024,wicked: the life and times of the wicked witch of the west
Fade,"McMann, Lisa",,,,Florida,Alachua County Public Schools,2023-2024,fade
Haunted,"Palahniuk, Chuck",,,,Florida,Alachua County Public Schools,2023-2024,haunted
Nineteen Minutes,"Picoult, Jodi",,,,Florida,Alachua County Public Schools,2023-2024,nineteen minutes
Jesus Land: A Memoir,"Scheeres, Julia",,,,Florida,Alachua County Public Schools,2023-2024,jesus land: a memoir
Lucky (AS),"Sebold, Alice",,,,Florida,Alachua County Public Schools,2023-2024,lucky
The Almost Moon,"Sebold, Alice",,,,Florida,Alachua County Public Schools,2023-2024,the almost moon
It Feels Good to Be Yourself: A Book About Gender Identity,"Thorn, Theresa",,"Grigni, Noah",,Florida,Alachua County Public Schools,2023-2024,it feels good to be yourself: a book about gender identity
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Florida,Alachua County Public Schools,2023-2024,slaughterhouse-five
Flowers in the Attic,"Andrews, V.C.",,,,Florida,Bay District Schools,2023-2024,flowers in the attic
Storm and Fury,"Armentrout, Jennifer L.",,,,Florida,Bay District Schools,2023-2024,storm and fury
Oryx and Crake,"Atwood, Margaret",,,,Florida,Bay District Schools,2023-2024,oryx and crake
The Handmaid's Tale,"Atwood, Margaret",,,,Florida,Bay District Schools,2023-2024,the handmaid's tale
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Florida,Bay District Schools,2023-2024,the handmaid's tale: the graphic novel
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Florida,Bay District Schools,2023-2024,fun home: a family tragicomic
Flamer,"Curato, Mike",,,,Florida,Bay District Schools,2023-2024,flamer
A Stolen Life,"Dugard, Jaycee",,,,Florida,Bay District Schools,2023-2024,a stolen life
The Carnival at Bray,"Foley, Jessie Ann",,,,Florida,Bay District Schools,2023-2024,the carnival at bray
Wrecked,"Frank, E. R.",,,,Florida,Bay District Schools,2023-2024,wrecked
Friction,"Frank, E.R.",,,,Florida,Bay District Schools,2023-2024,friction
It Ends With Us,"Hoover, Colleen",,,,Florida,Bay District Schools,2023-2024,it ends with us
Fallout,"Hopkins, Ellen",,,,Florida,Bay District Schools,2023-2024,fallout
Glass,"Hopkins, Ellen",,,,Florida,Bay District Schools,2023-2024,glass
Impulse,"Hopkins, Ellen",,,,Florida,Bay District Schools,2023-2024,impulse
Smoke,"Hopkins, Ellen",,,,Florida,Bay District Schools,2023-2024,smoke
When Aidan Became a Brother,"Lukoff, Kyle",,"Juanita, Kaylani",,Florida,Bay District Schools,2023-2024,when aidan became a brother
Boy Toy,"Lyga, Barry",,,,Florida,Bay District Schools,2023-2024,boy toy
A Court of Wings and Ruin,"Maas, Sarah J.",,,,Florida,Bay District Schools,2023-2024,a court of wings and ruin
Crown of Midnight,"Maas, Sarah J.",,,,Florida,Bay District Schools,2023-2024,crown of midnight
Empire of Storms,"Maas, Sarah J.",,,,Florida,Bay District Schools,2023-2024,empire of storms
Queen of Shadows,"Maas, Sarah J.",,,,Florida,Bay District Schools,2023-2024,queen of shadows
Sold,"McCormick, Patricia",,,,Florida,Bay District Schools,2023-2024,sold
Gone (LM),"McMann, Lisa",,,,Florida,Bay District Schools,2023-2024,gone
Kissing Kate,"Myracle, Lauren",,,,Florida,Bay District Schools,2023-2024,kissing kate
ttyl,"Myracle, Lauren",,,,Florida,Bay District Schools,2023-2024,ttyl
yolo,"Myracle, Lauren",,,,Florida,Bay District Schools,2023-2024,yolo
All the Bright Places,"Niven, Jennifer",,,,Florida,Bay District Schools,2023-2024,all the bright places
The Nowhere Girls,"Reed, Amy",,,,Florida,Bay District Schools,2023-2024,the nowhere girls
When I Was the Greatest,"Reynolds, Jason",,,,Florida,Bay District Schools,2023-2024,when i was the greatest
Juliet Takes a Breath,"Rivera, Gabby",,,,Florida,Bay District Schools,2023-2024,juliet takes a breath
Normal People,"Rooney, Sally",,,,Florida,Bay District Schools,2023-2024,normal people
Stealing Heaven,"Scott, Elizabeth",,,,Florida,Bay District Schools,2023-2024,stealing heaven
The Lovely Bones,"Sebold, Alice",,,,Florida,Bay District Schools,2023-2024,the lovely bones
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Florida,Bay District Schools,2023-2024,slaughterhouse-five
The Kingdom of Little Wounds,"Cokal, Susann",,,,Florida,Brevard Public Schools,2023-2024,the kingdom of little wounds
Dark Sons,"Grimes, Nikki",,,,Florida,Brevard Public Schools,2023-2024,dark sons
Sasaki and Miyano,"Harusono, Shou",,"Kim, Dayeun","Harvey, Leighann",Florida,Brevard Public Schools,2023-2024,sasaki and miyano
Allegedly,"Jackson, Tiffany D.",,,,Florida,Brevard Public Schools,2023-2024,allegedly
Blood Water Paint,"McCullough, Joy",,,,Florida,Brevard Public Schools,2023-2024,blood water paint
Lost Gospels and Hidden Codes: New Concepts of Scripture,"McIntosh, Kenneth",,,,Florida,Brevard Public Schools,2023-2024,lost gospels and hidden codes: new concepts of scripture
East of Eden,"Steinbeck, John",,,,Florida,Brevard Public Schools,2023-2024,east of eden
Billy Graham: World-Famous Evangelist,"Wooten, Sara McIntosh",,,,Florida,Brevard Public Schools,2023-2024,billy graham: world-famous evangelist
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Florida,Broward County Public Schools,2023-2024,the handmaid's tale: the graphic novel
Forever...,"Blume, Judy",,,,Florida,Broward County Public Schools,2023-2024,forever...
Identical,"Hopkins, Ellen",,,,Florida,Broward County Public Schools,2023-2024,identical
Tricks,"Hopkins, Ellen",,,,Florida,Broward County Public Schools,2023-2024,tricks
All Boys Aren't Blue,"Johnson, George M.",,,,Florida,Broward County Public Schools,2023-2024,all boys aren't blue
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,Florida,Broward County Public Schools,2023-2024,beyond magenta: transgender teens speak out
Kaffir Boy: An Autobiography - The True Story of a Black Youth's Coming of Age in Apartheid South Africa,"Mathabane, Mark",,,,Florida,Broward County Public Schools,2023-2024,kaffir boy: an autobiography - the true story of a black youth's coming of age in apartheid south africa
Choke (CP),"Palahniuk, Chuck",,,,Florida,Broward County Public Schools,2023-2024,choke
Jack of Hearts (and other parts),"Rosen, L. C.",,,,Florida,Broward County Public Schools,2023-2024,jack of hearts
Lucky (AS),"Sebold, Alice",,,,Florida,Broward County Public Schools,2023-2024,lucky
Front Desk,"Yang, Kelly",,,,Florida,Broward County Public Schools,2023-2024,front desk
Clap When You Land,"Acevedo, Elizabeth",,,,Florida,Charlotte County Public Schools,2023-2024,clap when you land
The Poet X,"Acevedo, Elizabeth",,,,Florida,Charlotte County Public Schools,2023-2024,the poet x
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Florida,Charlotte County Public Schools,2023-2024,the absolutely true diary of a part-time indian
Speak,"Anderson, Laurie Halse",,,,Florida,Charlotte County Public Schools,2023-2024,speak
Speak: The Graphic Novel,"Anderson, Laurie Halse",,"Carroll, Emily",,Florida,Charlotte County Public Schools,2023-2024,speak: the graphic novel
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Florida,Charlotte County Public Schools,2023-2024,me and earl and the dying girl
I Know Why The Caged Bird Sings,"Angelou, Maya",,,,Florida,Charlotte County Public Schools,2023-2024,i know why the caged bird sings
Thirteen Reasons Why,"Asher, Jay",,,,Florida,Charlotte County Public Schools,2023-2024,thirteen reasons why
Oryx and Crake,"Atwood, Margaret",,,,Florida,Charlotte County Public Schools,2023-2024,oryx and crake
The Handmaid's Tale,"Atwood, Margaret",,,,Florida,Charlotte County Public Schools,2023-2024,the handmaid's tale
Cinderella Is Dead,"Bayron, Kalynn",,,,Florida,Charlotte County Public Schools,2023-2024,cinderella is dead
Forever...,"Blume, Judy",,,,Florida,Charlotte County Public Schools,2023-2024,forever...
Graceling,"Cashore, Kristin",,,,Florida,Charlotte County Public Schools,2023-2024,graceling
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,Florida,Charlotte County Public Schools,2023-2024,the perks of being a wallflower
Killing Mr. Griffin,"Duncan, Lois",,,,Florida,Charlotte County Public Schools,2023-2024,killing mr. griffin
Breathing Underwater,"Flinn, Alex",,,,Florida,Charlotte County Public Schools,2023-2024,breathing underwater
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,Florida,Charlotte County Public Schools,2023-2024,extremely loud and incredibly close
Picture Us In the Light,"Gilbert, Kelly Loy",,,,Florida,Charlotte County Public Schools,2023-2024,picture us in the light
Ban This Book,"Gratz, Alan",,,,Florida,Charlotte County Public Schools,2023-2024,ban this book
Looking for Alaska,"Green, John",,,,Florida,Charlotte County Public Schools,2023-2024,looking for alaska
The Fault in Our Stars,"Green, John",,,,Florida,Charlotte County Public Schools,2023-2024,the fault in our stars
"Will Grayson, Will Grayson","Green, John","Levithan, David",,,Florida,Charlotte County Public Schools,2023-2024,"will grayson, will grayson"
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,Florida,Charlotte County Public Schools,2023-2024,the freedom writers diary
Homegoing,"Gyasi, Yaa",,,,Florida,Charlotte County Public Schools,2023-2024,homegoing
The Great Alone,"Hannah, Kristin",,,,Florida,Charlotte County Public Schools,2023-2024,the great alone
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",,"Emberley, Michael",,Florida,Charlotte County Public Schools,2023-2024,"it's perfectly normal: changing bodies, growing up, sex, and sexual health"
Burned (EH),"Hopkins, Ellen",,,,Florida,Charlotte County Public Schools,2023-2024,burned
Crank,"Hopkins, Ellen",,,,Florida,Charlotte County Public Schools,2023-2024,crank
Fallout,"Hopkins, Ellen",,,,Florida,Charlotte County Public Schools,2023-2024,fallout
Glass,"Hopkins, Ellen",,,,Florida,Charlotte County Public Schools,2023-2024,glass
Impulse,"Hopkins, Ellen",,,,Florida,Charlotte County Public Schools,2023-2024,impulse
Smoke,"Hopkins, Ellen",,,,Florida,Charlotte County Public Schools,2023-2024,smoke
Tricks,"Hopkins, Ellen",,,,Florida,Charlotte County Public Schools,2023-2024,tricks
A Thousand Splendid Suns,"Hosseini, Khaled",,,,Florida,Charlotte County Public Schools,2023-2024,a thousand splendid suns
The Kite Runner,"Hosseini, Khaled",,,,Florida,Charlotte County Public Schools,2023-2024,the kite runner
Monday's Not Coming,"Jackson, Tiffany D.",,,,Florida,Charlotte County Public Schools,2023-2024,monday's not coming
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",,,,Florida,Charlotte County Public Schools,2023-2024,being jazz: my life as a teen
Almost Perfect,"Katcher, Brian",,,,Florida,Charlotte County Public Schools,2023-2024,almost perfect
Two Boys Kissing,"Levithan, David",,,,Florida,Charlotte County Public Schools,2023-2024,two boys kissing
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",,,,Florida,Charlotte County Public Schools,2023-2024,fly on the wall: how one girl saw everything
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",,,,Florida,Charlotte County Public Schools,2023-2024,"real live boyfriends: yes. boyfriends, plural. if my life weren't complicated, i wouldn't be ruby oliver"
Unravel Me,"Mafi, Tahereh",,,,Florida,Charlotte County Public Schools,2023-2024,unravel me
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,Florida,Charlotte County Public Schools,2023-2024,wicked: the life and times of the wicked witch of the west
The Truth About Alice: A Novel,"Mathieu, Jennifer",,,,Florida,Charlotte County Public Schools,2023-2024,the truth about alice: a novel
Sold,"McCormick, Patricia",,,,Florida,Charlotte County Public Schools,2023-2024,sold
Atonement,"McEwan, Ian",,,,Florida,Charlotte County Public Schools,2023-2024,atonement
Beloved,"Morrison, Toni",,,,Florida,Charlotte County Public Schools,2023-2024,beloved
The Bluest Eye,"Morrison, Toni",,,,Florida,Charlotte County Public Schools,2023-2024,the bluest eye
War Inside Me,"Nicholas, Sydney",,,,Florida,Charlotte County Public Schools,2023-2024,war inside me
All the Bright Places,"Niven, Jennifer",,,,Florida,Charlotte County Public Schools,2023-2024,all the bright places
Holding Up the Universe,"Niven, Jennifer",,,,Florida,Charlotte County Public Schools,2023-2024,holding up the universe
Where the Crawdads Sing,"Owens, Delia",,,,Florida,Charlotte County Public Schools,2023-2024,where the crawdads sing
Nineteen Minutes,"Picoult, Jodi",,,,Florida,Charlotte County Public Schools,2023-2024,nineteen minutes
We the Living,"Rand, Ayn",,,,Florida,Charlotte County Public Schools,2023-2024,we the living
The Nowhere Girls,"Reed, Amy",,,,Florida,Charlotte County Public Schools,2023-2024,the nowhere girls
All American Boys,"Reynolds, Jason","Kiely, Brendan",,,Florida,Charlotte County Public Schools,2023-2024,all american boys
And Tango Makes Three,"Richardson, Justin","Parnell, Peter","Cole, Henry",,Florida,Charlotte County Public Schools,2023-2024,and tango makes three
Percy Jackson's Greek Gods,"Riordan, Rick",,,,Florida,Charlotte County Public Schools,2023-2024,percy jackson's greek gods
Eleanor and Park,"Rowell, Rainbow",,,,Florida,Charlotte County Public Schools,2023-2024,eleanor and park
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",,,,Florida,Charlotte County Public Schools,2023-2024,i am not your perfect mexican daughter
Lucky (AS),"Sebold, Alice",,,,Florida,Charlotte County Public Schools,2023-2024,lucky
Burned (SS),"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,burned
Crushed,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,crushed
Deadly,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,deadly
Flawless,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,flawless
Heartless,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,heartless
Killer,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,killer
Perfect,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,perfect
Pretty Little Liars,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,pretty little liars
Ruthless,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,ruthless
Stunning,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,stunning
Toxic,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,toxic
Twisted (SS),"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,twisted
Unbelievable,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,unbelievable
Vicious,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,vicious
Wanted,"Shepard, Sara",,,,Florida,Charlotte County Public Schools,2023-2024,wanted
More Happy Than Not,"Silvera, Adam",,,,Florida,Charlotte County Public Schools,2023-2024,more happy than not
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",,,,Florida,Charlotte County Public Schools,2023-2024,the 57 bus: a true story of two teenagers and the crime that changed their lives
Go Ask Alice,"Sparks, Beatrice",Anonymous,,,Florida,Charlotte County Public Schools,2023-2024,go ask alice
Who Was Sally Ride?,"Stine, Megan",,"Hammond, Ted",,Florida,Charlotte County Public Schools,2023-2024,who was sally ride?
The Help,"Stockett, Kathryn",,,,Florida,Charlotte County Public Schools,2023-2024,the help
Dear Martin,"Stone, Nic",,,,Florida,Charlotte County Public Schools,2023-2024,dear martin
The Walls Around Us,"Suma, Nova Ren",,,,Florida,Charlotte County Public Schools,2023-2024,the walls around us
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,Florida,Charlotte County Public Schools,2023-2024,this one summer
Drama: A Graphic Novel,"Telgemeier, Raina",,,,Florida,Charlotte County Public Schools,2023-2024,drama: a graphic novel
The Hate U Give,"Thomas, Angie",,,,Florida,Charlotte County Public Schools,2023-2024,the hate u give
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Florida,Charlotte County Public Schools,2023-2024,slaughterhouse-five
The Glass Castle,"Walls, Jeannette",,,,Florida,Charlotte County Public Schools,2023-2024,the glass castle
The Sun Is Also a Star,"Yoon, Nicola",,,,Florida,Charlotte County Public Schools,2023-2024,the sun is also a star
With the Fire on High,"Acevedo, Elizabeth",,,,Florida,Clay County School District,2023-2024,with the fire on high
"How I Paid for College: A Novel of Sex, Theft, Friendship and Musical Theater","Acito, Marc",,,,Florida,Clay County School District,2023-2024,"how i paid for college: a novel of sex, theft, friendship and musical theater"
"Sparks: The epic, Completely True Blue, (Almost) Holy Quest of Debbie","Adams, S.J.",,,,Florida,Clay County School District,2023-2024,"sparks: the epic, completely true blue, holy quest of debbie"
Smoke in the Sun,"Ahdieh, Renée",,,,Florida,Clay County School District,2023-2024,smoke in the sun
Here's to Us,"Albertalli, Becky","Silvera, Adam",,,Florida,Clay County School District,2023-2024,here's to us
Kate in Waiting,"Albertalli, Becky",,,,Florida,Clay County School District,2023-2024,kate in waiting
What If It's Us,"Albertalli, Becky","Silvera, Adam",,,Florida,Clay County School District,2023-2024,what if it's us
Yes No Maybe So,"Albertalli, Becky","Saeed, Aisha",,,Florida,Clay County School District,2023-2024,yes no maybe so
Counterfeit Son,"Alphin, Elaine Marie",,,,Florida,Clay County School District,2023-2024,counterfeit son
How the Garcia Girls Lost Their Accents,"Alvarez, Julia",,,,Florida,Clay County School District,2023-2024,how the garcia girls lost their accents
"Bless Me, Ultima","Anaya, Rudolfo",,,,Florida,Clay County School District,2023-2024,"bless me, ultima"
Murder of Crows,"Ancrum, K.",,,,Florida,Clay County School District,2023-2024,murder of crows
Chains,"Anderson, Laurie Halse",,,,Florida,Clay County School District,2023-2024,chains
I Know Why The Caged Bird Sings,"Angelou, Maya",,,,Florida,Clay County School District,2023-2024,i know why the caged bird sings
The One and Only Bob,"Applegate, Katherine",,"Castelao, Patricia",,Florida,Clay County School District,2023-2024,the one and only bob
The One and Only Ivan,"Applegate, Katherine",,,,Florida,Clay County School District,2023-2024,the one and only ivan
Almost Flying,"Arlow, Jake Maia",,,,Florida,Clay County School District,2023-2024,almost flying
Opposition,"Armentrout, Jennifer L.",,,,Florida,Clay County School District,2023-2024,opposition
White Hot Kiss,"Armentrout, Jennifer L.",,,,Florida,Clay County School District,2023-2024,white hot kiss
The Clan of the Cave Bear,"Auel, Jean M.",,,,Florida,Clay County School District,2023-2024,the clan of the cave bear
If You Find This,"Baker, Matthew",,,,Florida,Clay County School District,2023-2024,if you find this
"Hi, Jack!","Barnett, Mac",,"Pizzoli, Greg",,Florida,Clay County School District,2023-2024,"hi, jack!"
Two-Way Street,"Barnholdt, Lauren",,,,Florida,Clay County School District,2023-2024,two-way street
Maya and the Rising Dark,"Barron, Rena",,,,Florida,Clay County School District,2023-2024,maya and the rising dark
The Vanquishers,"Bayron, Kalynn",,,,Florida,Clay County School District,2023-2024,the vanquishers
