Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range,Normalized Title
New Book of Herbs,"McVicar, Jekka",,,,Texas,North East Independent School District,2023-2024,new book of herbs
Just a Girl,"Mesrobian, Carrie",,,,Texas,North East Independent School District,2023-2024,just a girl
Dragons of Darkness,"Michaelis, Antonia",,,"Bell, Anthea",Texas,North East Independent School District,2023-2024,dragons of darkness
Hoop City: Baltimore,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,hoop city: baltimore
Hoop City: Chicago,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,hoop city: chicago
Hoop City: Detroit,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,hoop city: detroit
Hoop City: Los Angeles,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,hoop city: los angeles
Hoop City: New York City,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,hoop city: new york city
"Hoop City: Washington, D.C","Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,"hoop city: washington, d.c"
Texas Fridays: Austin,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,texas fridays: austin
Texas Fridays: Dallas,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,texas fridays: dallas
Texas Fridays: El Paso,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,texas fridays: el paso
Texas Fridays: Houston,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,texas fridays: houston
Texas Fridays: Odessa,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,texas fridays: odessa
Texas Fridays: San Antonio,"Moussavi, Sam",,,,Texas,North East Independent School District,2023-2024,texas fridays: san antonio
Bird,"Murphy, Rita",,,,Texas,North East Independent School District,2023-2024,bird
"Hana-Kimi: For You in Full Blossom (Series, Title Not Specified)","Nakajo, Hisaya",,,,Texas,North East Independent School District,2023-2024,hana-kimi: for you in full blossom
Girls of Storm and Shadow,"Ngan, Natasha",,,,Texas,North East Independent School District,2023-2024,girls of storm and shadow
"Bakuman (Series, Title Not Specified)","Ohba, Tsugumi",,"Obata, Takeshi",,Texas,North East Independent School District,2023-2024,bakuman
"Death Note (Series, Title Not Specified)","Ohba, Tsugumi",,"Obata, Takeshi",,Texas,North East Independent School District,2023-2024,death note
"Death Note: Black Edition (Series, Title Not Specified)","Ohba, Tsugumi",,"Obata, Takeshi",,Texas,North East Independent School District,2023-2024,death note: black edition
"A Silent Voice (Series, Title Not Specified)","Ōima, Yoshitoki",,,,Texas,North East Independent School District,2023-2024,a silent voice
Replica: Gemma Lyra,"Oliver, Lauren",,,,Texas,North East Independent School District,2023-2024,replica: gemma lyra
Ringer,"Oliver, Lauren",,,,Texas,North East Independent School District,2023-2024,ringer
"One-Punch Man (Series, Title Not Specified)",ONE,,"Murata, Yusuke",,Texas,North East Independent School District,2023-2024,one-punch man
Coping with Breakups and Jealousy,"Orr, Tamra B.",,,,Texas,North East Independent School District,2023-2024,coping with breakups and jealousy
Unleaving,"Ostrom, Melissa",,,,Texas,North East Independent School District,2023-2024,unleaving
Crazy House,"Patterson, James",,,,Texas,North East Independent School District,2023-2024,crazy house
Demons and Druids,"Patterson, James",,,,Texas,North East Independent School District,2023-2024,demons and druids
The Dangerous Days of Daniel X,"Patterson, James",,,,Texas,North East Independent School District,2023-2024,the dangerous days of daniel x
Watch the Skies,"Patterson, James",,,,Texas,North East Independent School District,2023-2024,watch the skies
Explorers and Discoverers: from Alexander the Great to Sally Ride,"Pear, Nancy",,,,Texas,North East Independent School District,2023-2024,explorers and discoverers: from alexander the great to sally ride
The Storm in the Barn,"Phelan, Matt",,,,Texas,North East Independent School District,2023-2024,the storm in the barn
"It Doesn't Have to Be Awkward: Dealing with Relationships, Consent, and Other Hard-to-Talk-About Stuff","Pinsky, Drew","Pinsky, Paulina",,,Texas,North East Independent School District,2023-2024,"it doesn't have to be awkward: dealing with relationships, consent, and other hard-to-talk-about stuff"
The First 7,"Pohl, Laura",,,,Texas,North East Independent School District,2023-2024,the first 7
The Last 8,"Pohl, Laura",,,,Texas,North East Independent School District,2023-2024,the last 8
Dealing With Dating and Romance,"Poole, H. W.",,,,Texas,North East Independent School District,2023-2024,dealing with dating and romance
"I Have the Right To: A High School Survivor's Story of Sexual Assault, Justice and Hope","Prout, Chessy","Abelson, Jenn",,,Texas,North East Independent School District,2023-2024,"i have the right to: a high school survivor's story of sexual assault, justice and hope"
Fever Crumb,"Reeve, Philip",,,,Texas,North East Independent School District,2023-2024,fever crumb
Tag-along Timothy Tours Texas,"Richardson, Jean",,,,Texas,North East Independent School District,2023-2024,tag-along timothy tours texas
Eleanor and Park,"Rowell, Rainbow",,,,Texas,North East Independent School District,2023-2024,eleanor and park
Introducing Frankenstein Meets the Wolf Man,"Roza, Greg",,,,Texas,North East Independent School District,2023-2024,introducing frankenstein meets the wolf man
Bone Gap,"Ruby, Laura",,,,Texas,North East Independent School District,2023-2024,bone gap
Plague Land,"Scarrow, Alex",,,,Texas,North East Independent School District,2023-2024,plague land
Keeping Corner,"Sheth, Kashmira",,,,Texas,North East Independent School District,2023-2024,keeping corner
The Promised Neverland,"Shirai, Kaiu",,"Demizu, Posuka",,Texas,North East Independent School District,2023-2024,the promised neverland
Thunderhead,"Shusterman, Neal",,,,Texas,North East Independent School District,2023-2024,thunderhead
Somebody Told Me,"Siegert, Mia",,,,Texas,North East Independent School District,2023-2024,somebody told me
Sinews of Thy Heart,"Skogen, Jennifer",,,,Texas,North East Independent School District,2023-2024,sinews of thy heart
Peak,"Smith, Roland",,,,Texas,North East Independent School District,2023-2024,peak
Zen and the Art of Faking It,"Sonnenblick, Jordan",,,,Texas,North East Independent School District,2023-2024,zen and the art of faking it
The Visual Dictionary of the Civil War,"Stanchak, John E.",,,,Texas,North East Independent School District,2023-2024,the visual dictionary of the civil war
Deogratias: A Tale of Rwanda,"Stassen, Jean-Philippe",,,"Siegel, Alexis",Texas,North East Independent School District,2023-2024,deogratias: a tale of rwanda
All the Rage,"Summers, Courtney",,,,Texas,North East Independent School District,2023-2024,all the rage
"Pretty Guardian Sailor Moon (Series, Title Not Specified)","Takeuchi, Naoko",,,,Texas,North East Independent School District,2023-2024,pretty guardian sailor moon
"Sakura Hime: The Legend of Princess Sakura (Series, Title Not Specified)","Tanemura, Arina",,,,Texas,North East Independent School District,2023-2024,sakura hime: the legend of princess sakura
Virtually Yours,"Tash, Sarvenaz",,,,Texas,North East Independent School District,2023-2024,virtually yours
"Black Butler (Series, Title Not Specified)","Toboso, Yana",,,,Texas,North East Independent School District,2023-2024,black butler
"Honey and Clover (Series, Title Not Specified)","Umino, Chika",,,,Texas,North East Independent School District,2023-2024,honey and clover
Perpetual Check,"Wallace, Rich",,,,Texas,North East Independent School District,2023-2024,perpetual check
Escape the Mask,"Ward, David",,,,Texas,North East Independent School District,2023-2024,escape the mask
Gendercide: The Implications of Sex Selection,"Warren, Mary Anne",,,,Texas,North East Independent School District,2023-2024,gendercide: the implications of sex selection
"Captivated, By You","Wayama, Yama",,"Blackman, Abigail","Harvey, Leighann",Texas,North East Independent School District,2023-2024,"captivated, by you"
No Child's Game: Reality TV 2083,"White, Andrea",,,,Texas,North East Independent School District,2023-2024,no child's game: reality tv 2083
Sexual Predators,"Willis, Laurie",,,,Texas,North East Independent School District,2023-2024,sexual predators
The Dragon's Tooth,"Wilson, Nathan D.",,,,Texas,North East Independent School District,2023-2024,the dragon's tooth
Another Brooklyn,"Woodson, Jacqueline",,,,Texas,North East Independent School District,2023-2024,another brooklyn
Parachutes,"Yang, Kelly",,,,Texas,North East Independent School District,2023-2024,parachutes
"Everything, Everything","Yoon, Nicola",,,,Texas,North East Independent School District,2023-2024,"everything, everything"
"Angel Sanctuary (Series, Title Not Specified)","Yuki, Kaori",,,,Texas,North East Independent School District,2023-2024,angel sanctuary
"Library Wars: Love and War (Series, Title Not Specified)","Yumi, Kiiro",,,,Texas,North East Independent School District,2023-2024,library wars: love and war
Freshman Year and Other Unnatural Disasters,"Zeitlin, Meredith",,,,Texas,North East Independent School District,2023-2024,freshman year and other unnatural disasters
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,Texas,Plano Independent School District,2023-2024,half of a yellow sun
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Texas,Plano Independent School District,2023-2024,me and earl and the dying girl
The Haters,"Andrews, Jesse",,,,Texas,Plano Independent School District,2023-2024,the haters
Damsel,"Arnold, Elana K.",,,,Texas,Plano Independent School District,2023-2024,damsel
Red Hood,"Arnold, Elana K.",,,,Texas,Plano Independent School District,2023-2024,red hood
What Girls Are Made Of,"Arnold, Elana K.",,,,Texas,Plano Independent School District,2023-2024,what girls are made of
Oryx and Crake,"Atwood, Margaret",,,,Texas,Plano Independent School District,2023-2024,oryx and crake
The Handmaid's Tale,"Atwood, Margaret",,,,Texas,Plano Independent School District,2023-2024,the handmaid's tale
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Texas,Plano Independent School District,2023-2024,the handmaid's tale: the graphic novel
Forever...,"Blume, Judy",,,,Texas,Plano Independent School District,2023-2024,forever...
Running with Scissors: A Memoir,"Burroughs, Augusten",,,,Texas,Plano Independent School District,2023-2024,running with scissors: a memoir
Foul is Fair,"Capin, Hannah",,,,Texas,Plano Independent School District,2023-2024,foul is fair
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",,,,Texas,Plano Independent School District,2023-2024,how beautiful the ordinary: twelve stories of identity
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,Texas,Plano Independent School District,2023-2024,the perks of being a wallflower
Forever for a Year,"Gottfred, B. T.",,,,Texas,Plano Independent School District,2023-2024,forever for a year
The Handsome Girl and Her Beautiful Boy,"Gottfred, B. T.",,,,Texas,Plano Independent School District,2023-2024,the handsome girl and her beautiful boy
The Nerdy and the Dirty,"Gottfred, B. T.",,,,Texas,Plano Independent School District,2023-2024,the nerdy and the dirty
Hooked,"Greenman, Catherine",,,,Texas,Plano Independent School District,2023-2024,hooked
Water for Elephants,"Gruen, Sara",,,,Texas,Plano Independent School District,2023-2024,water for elephants
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,Texas,Plano Independent School District,2023-2024,the freedom writers diary
Homegoing,"Gyasi, Yaa",,,,Texas,Plano Independent School District,2023-2024,homegoing
Collateral,"Hopkins, Ellen",,,,Texas,Plano Independent School District,2023-2024,collateral
Crank,"Hopkins, Ellen",,,,Texas,Plano Independent School District,2023-2024,crank
Identical,"Hopkins, Ellen",,,,Texas,Plano Independent School District,2023-2024,identical
People Kill People,"Hopkins, Ellen",,,,Texas,Plano Independent School District,2023-2024,people kill people
Perfect (EH),"Hopkins, Ellen",,,,Texas,Plano Independent School District,2023-2024,perfect
Tilt (EH),"Hopkins, Ellen",,,,Texas,Plano Independent School District,2023-2024,tilt
Tricks,"Hopkins, Ellen",,,,Texas,Plano Independent School District,2023-2024,tricks
I Never,"Hopper, Laura",,,,Texas,Plano Independent School District,2023-2024,i never
All Boys Aren't Blue,"Johnson, George M.",,,,Texas,Plano Independent School District,2023-2024,all boys aren't blue
The Sun and Her Flowers,"Kaur, Rupi",,,,Texas,Plano Independent School District,2023-2024,the sun and her flowers
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,,,Texas,Plano Independent School District,2023-2024,the duff: designated ugly fat friend
Last Night at the Telegraph Club,"Lo, Malinda",,,,Texas,Plano Independent School District,2023-2024,last night at the telegraph club
Boy Toy,"Lyga, Barry",,,,Texas,Plano Independent School District,2023-2024,boy toy
A Court of Frost and Starlight,"Maas, Sarah J.",,,,Texas,Plano Independent School District,2023-2024,a court of frost and starlight
A Court of Mist and Fury,"Maas, Sarah J.",,,,Texas,Plano Independent School District,2023-2024,a court of mist and fury
A Court of Silver Flames,"Maas, Sarah J.",,,,Texas,Plano Independent School District,2023-2024,a court of silver flames
A Court of Thorns and Roses,"Maas, Sarah J.",,,,Texas,Plano Independent School District,2023-2024,a court of thorns and roses
A Court of Wings and Ruin,"Maas, Sarah J.",,,,Texas,Plano Independent School District,2023-2024,a court of wings and ruin
Empire of Storms,"Maas, Sarah J.",,,,Texas,Plano Independent School District,2023-2024,empire of storms
House of Earth and Blood,"Maas, Sarah J.",,,,Texas,Plano Independent School District,2023-2024,house of earth and blood
House of Sky and Breath,"Maas, Sarah J.",,,,Texas,Plano Independent School District,2023-2024,house of sky and breath
Kingdom of Ash,"Maas, Sarah J.",,,,Texas,Plano Independent School District,2023-2024,kingdom of ash
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,Texas,Plano Independent School District,2023-2024,wicked: the life and times of the wicked witch of the west
Sold,"McCormick, Patricia",,,,Texas,Plano Independent School District,2023-2024,sold
The Bluest Eye,"Morrison, Toni",,,,Texas,Plano Independent School District,2023-2024,the bluest eye
Shine,"Myracle, Lauren",,,,Texas,Plano Independent School District,2023-2024,shine
The Infinite Moment of Us,"Myracle, Lauren",,,,Texas,Plano Independent School District,2023-2024,the infinite moment of us
yolo,"Myracle, Lauren",,,,Texas,Plano Independent School District,2023-2024,yolo
Skin (DJN),"Napoli, Donna Jo",,,,Texas,Plano Independent School District,2023-2024,skin
Like a Love Story,"Nazemian, Abdi",,,,Texas,Plano Independent School District,2023-2024,like a love story
I'll Give You the Sun,"Nelson, Jandy",,,,Texas,Plano Independent School District,2023-2024,i'll give you the sun
Breathless (JN),"Niven, Jennifer",,,,Texas,Plano Independent School District,2023-2024,breathless
Choke (CP),"Palahniuk, Chuck",,,,Texas,Plano Independent School District,2023-2024,choke
Nineteen Minutes,"Picoult, Jodi",,,,Texas,Plano Independent School District,2023-2024,nineteen minutes
The Nowhere Girls,"Reed, Amy",,,,Texas,Plano Independent School District,2023-2024,the nowhere girls
Normal People,"Rooney, Sally",,,,Texas,Plano Independent School District,2023-2024,normal people
And They Lived...,"Salvatore, Steven",,,,Texas,Plano Independent School District,2023-2024,and they lived...
Lucky (AS),"Sebold, Alice",,,,Texas,Plano Independent School District,2023-2024,lucky
The Lovely Bones,"Sebold, Alice",,,,Texas,Plano Independent School District,2023-2024,the lovely bones
Embrace,"Shirvington, Jessica",,,,Texas,Plano Independent School District,2023-2024,embrace
Blankets,"Thompson, Craig",,,,Texas,Plano Independent School District,2023-2024,blankets
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Texas,Plano Independent School District,2023-2024,slaughterhouse-five
Doing It!: Let's Talk About Sex,"Witton, Hannah",,,,Texas,Plano Independent School District,2023-2024,doing it!: let's talk about sex
The Haters,"Andrews, Jesse",,,,Texas,Southside Independent School District,2023-2024,the haters
Man o' War,"McCarthy, Cory",,,,Texas,Southside Independent School District,2023-2024,man o' war
Choke (CP),"Palahniuk, Chuck",,,,Texas,Southside Independent School District,2023-2024,choke
Damned,"Palahniuk, Chuck",,,,Texas,Southside Independent School District,2023-2024,damned
I Know Why The Caged Bird Sings,"Angelou, Maya",,,,Utah,Davis School District,2023-2024,i know why the caged bird sings
Forever...,"Blume, Judy",,,,Utah,Davis School District,2023-2024,forever...
A Stolen Life,"Dugard, Jaycee",,,,Utah,Davis School District,2023-2024,a stolen life
Dime,"Frank, E. R.",,,,Utah,Davis School District,2023-2024,dime
Living Dead Girl,"Scott, Elizabeth",,,,Utah,Davis School District,2023-2024,living dead girl
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Utah,Davis School District,2023-2024,slaughterhouse-five
Slaughterhouse-Five: The Graphic Novel,"Vonnegut Jr., Kurt","North, Ryan","Monteys, Albert",,Utah,Davis School District,2023-2024,slaughterhouse-five: the graphic novel
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Utah,Granite School District,2023-2024,the absolutely true diary of a part-time indian
I Know Why The Caged Bird Sings,"Angelou, Maya",,,,Utah,Granite School District,2023-2024,i know why the caged bird sings
Storm and Fury,"Armentrout, Jennifer L.",,,,Utah,Granite School District,2023-2024,storm and fury
This Is Kind of an Epic Love Story,"Callender, Kacen",,,,Utah,Granite School District,2023-2024,this is kind of an epic love story
A Stolen Life,"Dugard, Jaycee",,,,Utah,Granite School District,2023-2024,a stolen life
American Psycho,"Ellis, Bret Easton",,,,Utah,Granite School District,2023-2024,american psycho
Life is Funny,"Frank, E. R.",,,,Utah,Granite School District,2023-2024,life is funny
Icebreaker (HG),"Grace, Hannah",,,,Utah,Granite School District,2023-2024,icebreaker
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,Utah,Granite School District,2023-2024,the freedom writers diary
Homegoing,"Gyasi, Yaa",,,,Utah,Granite School District,2023-2024,homegoing
The Sun and Her Flowers,"Kaur, Rupi",,,,Utah,Granite School District,2023-2024,the sun and her flowers
House of Earth and Blood,"Maas, Sarah J.",,,,Utah,Granite School District,2023-2024,house of earth and blood
A Clash of Kings,"Martin, George R. R.",,,,Utah,Granite School District,2023-2024,a clash of kings
A Game of Thrones,"Martin, George R. R.",,,,Utah,Granite School District,2023-2024,a game of thrones
Man o' War,"McCarthy, Cory",,,,Utah,Granite School District,2023-2024,man o' war
One Last Stop,"McQuiston, Casey",,,,Utah,Granite School District,2023-2024,one last stop
Like a Love Story,"Nazemian, Abdi",,,,Utah,Granite School District,2023-2024,like a love story
Blankets,"Thompson, Craig",,,,Utah,Granite School District,2023-2024,blankets
The Haters,"Andrews, Jesse",,,,Utah,Salt Lake City School District,2023-2024,the haters
What Girls Are Made Of,"Arnold, Elana K.",,,,Utah,Salt Lake City School District,2023-2024,what girls are made of
Gender Queer: A Memoir,"Kobabe, Maia",,,,Utah,Salt Lake City School District,2023-2024,gender queer: a memoir
Icebreaker (HG),"Grace, Hannah",,,,Utah,Washington County Schools,2023-2024,icebreaker
Crash and Burn,"Hassan, Michael",,,,Utah,Washington County Schools,2023-2024,crash and burn
Fight Club,"Palahniuk, Chuck",,,,Utah,Washington County Schools,2023-2024,fight club
Blankets,"Thompson, Craig",,,,Utah,Washington County Schools,2023-2024,blankets
The Summer of Owen Todd,"Abbott, Tony",,,,Virginia,Augusta County School District,2023-2024,the summer of owen todd
Identical,"Hopkins, Ellen",,,,Virginia,Augusta County School District,2023-2024,identical
The Swallows,"Lutz, Lisa",,,,Virginia,Augusta County School District,2023-2024,the swallows
Golden Boy: Blue-eyed Boy or Girl Next Door,"Tarttelin, Abigail",,,,Virginia,Augusta County School District,2023-2024,golden boy: blue-eyed boy or girl next door
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,Virginia,Fluvanna School District,2023-2024,me and earl and the dying girl
Damsel,"Arnold, Elana K.",,,,Virginia,Fluvanna School District,2023-2024,damsel
What Girls Are Made Of,"Arnold, Elana K.",,,,Virginia,Fluvanna School District,2023-2024,what girls are made of
Something Like Normal,"Doller, Trish",,,,Virginia,Fluvanna School District,2023-2024,something like normal
Dime,"Frank, E. R.",,,,Virginia,Fluvanna School District,2023-2024,dime
Looking for Alaska,"Green, John",,,,Virginia,Fluvanna School District,2023-2024,looking for alaska
The You I've Never Known,"Hopkins, Ellen",,,,Virginia,Fluvanna School District,2023-2024,the you i've never known
Tricks,"Hopkins, Ellen",,,,Virginia,Fluvanna School District,2023-2024,tricks
All Boys Aren't Blue,"Johnson, George M.",,,,Virginia,Fluvanna School District,2023-2024,all boys aren't blue
Sold,"McCormick, Patricia",,,,Virginia,Fluvanna School District,2023-2024,sold
All the Things We Do in the Dark,"Mitchell, Saundra",,,,Virginia,Fluvanna School District,2023-2024,all the things we do in the dark
The Bluest Eye,"Morrison, Toni",,,,Virginia,Fluvanna School District,2023-2024,the bluest eye
Shine,"Myracle, Lauren",,,,Virginia,Fluvanna School District,2023-2024,shine
Out of Darkness,"Pérez, Ashley Hope",,,,Virginia,Fluvanna School District,2023-2024,out of darkness
The Nowhere Girls,"Reed, Amy",,,,Virginia,Fluvanna School District,2023-2024,the nowhere girls
More Happy Than Not,"Silvera, Adam",,,,Virginia,Fluvanna School District,2023-2024,more happy than not
The Poet X,"Acevedo, Elizabeth",,,,Virginia,Hanover County Public Schools,2023-2024,the poet x
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,Virginia,Hanover County Public Schools,2023-2024,half of a yellow sun
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Virginia,Hanover County Public Schools,2023-2024,the absolutely true diary of a part-time indian
Shout,"Anderson, Laurie Halse",,,,Virginia,Hanover County Public Schools,2023-2024,shout
Speak: The Graphic Novel,"Anderson, Laurie Halse",,"Carroll, Emily",,Virginia,Hanover County Public Schools,2023-2024,speak: the graphic novel
The Haters,"Andrews, Jesse",,,,Virginia,Hanover County Public Schools,2023-2024,the haters
Damsel,"Arnold, Elana K.",,,,Virginia,Hanover County Public Schools,2023-2024,damsel
What Girls Are Made Of,"Arnold, Elana K.",,,,Virginia,Hanover County Public Schools,2023-2024,what girls are made of
Thirteen Reasons Why,"Asher, Jay",,,,Virginia,Hanover County Public Schools,2023-2024,thirteen reasons why
Oryx and Crake,"Atwood, Margaret",,,,Virginia,Hanover County Public Schools,2023-2024,oryx and crake
The Handmaid's Tale,"Atwood, Margaret",,,,Virginia,Hanover County Public Schools,2023-2024,the handmaid's tale
Forever...,"Blume, Judy",,,,Virginia,Hanover County Public Schools,2023-2024,forever...
Felix Ever After,"Callender, Kacen",,,,Virginia,Hanover County Public Schools,2023-2024,felix ever after
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,Virginia,Hanover County Public Schools,2023-2024,the perks of being a wallflower
Yolk,"Choi, Mary H.K.",,,,Virginia,Hanover County Public Schools,2023-2024,yolk
This Book Is Gay,"Dawson, Juno",,,,Virginia,Hanover County Public Schools,2023-2024,this book is gay
The Carnival at Bray,"Foley, Jessie Ann",,,,Virginia,Hanover County Public Schools,2023-2024,the carnival at bray
If I Stay,"Forman, Gayle",,,,Virginia,Hanover County Public Schools,2023-2024,if i stay
Dime,"Frank, E. R.",,,,Virginia,Hanover County Public Schools,2023-2024,dime
Life is Funny,"Frank, E. R.",,,,Virginia,Hanover County Public Schools,2023-2024,life is funny
Forever for a Year,"Gottfred, B. T.",,,,Virginia,Hanover County Public Schools,2023-2024,forever for a year
Valiant Ladies,"Grey, Melissa",,,,Virginia,Hanover County Public Schools,2023-2024,valiant ladies
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,Virginia,Hanover County Public Schools,2023-2024,the freedom writers diary
Homegoing,"Gyasi, Yaa",,,,Virginia,Hanover County Public Schools,2023-2024,homegoing
Rethinking Normal: A Memoir in Transition,"Hill, Katie Rain",,,,Virginia,Hanover County Public Schools,2023-2024,rethinking normal: a memoir in transition
Crank,"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,crank
Fallout,"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,fallout
Glass,"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,glass
Impulse,"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,impulse
People Kill People,"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,people kill people
Perfect (EH),"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,perfect
Rumble,"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,rumble
Smoke,"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,smoke
Tilt (EH),"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,tilt
Tricks,"Hopkins, Ellen",,,,Virginia,Hanover County Public Schools,2023-2024,tricks
We Are the Ants,"Hutchinson, Shaun David",,,,Virginia,Hanover County Public Schools,2023-2024,we are the ants
Grown,"Jackson, Tiffany D.",,,,Virginia,Hanover County Public Schools,2023-2024,grown
Monday's Not Coming,"Jackson, Tiffany D.",,,,Virginia,Hanover County Public Schools,2023-2024,monday's not coming
Milk and Honey,"Kaur, Rupi",,,,Virginia,Hanover County Public Schools,2023-2024,milk and honey
The Sun and Her Flowers,"Kaur, Rupi",,,,Virginia,Hanover County Public Schools,2023-2024,the sun and her flowers
Dig,"King, A. S.",,,,Virginia,Hanover County Public Schools,2023-2024,dig
The Girl with the Dragon Tattoo,"Larsson, Stieg",,,"Keeland, Reg",Virginia,Hanover County Public Schools,2023-2024,the girl with the dragon tattoo
Last Night at the Telegraph Club,"Lo, Malinda",,,,Virginia,Hanover County Public Schools,2023-2024,last night at the telegraph club
A Court of Frost and Starlight,"Maas, Sarah J.",,,,Virginia,Hanover County Public Schools,2023-2024,a court of frost and starlight
A Court of Thorns and Roses,"Maas, Sarah J.",,,,Virginia,Hanover County Public Schools,2023-2024,a court of thorns and roses
A Court of Wings and Ruin,"Maas, Sarah J.",,,,Virginia,Hanover County Public Schools,2023-2024,a court of wings and ruin
Empire of Storms,"Maas, Sarah J.",,,,Virginia,Hanover County Public Schools,2023-2024,empire of storms
House of Earth and Blood,"Maas, Sarah J.",,,,Virginia,Hanover County Public Schools,2023-2024,house of earth and blood
Kingdom of Ash,"Maas, Sarah J.",,,,Virginia,Hanover County Public Schools,2023-2024,kingdom of ash
Tower of Dawn,"Maas, Sarah J.",,,,Virginia,Hanover County Public Schools,2023-2024,tower of dawn
Guyaholic,"Mackler, Carolyn",,,,Virginia,Hanover County Public Schools,2023-2024,guyaholic
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,Virginia,Hanover County Public Schools,2023-2024,wicked: the life and times of the wicked witch of the west
Man o' War,"McCarthy, Cory",,,,Virginia,Hanover County Public Schools,2023-2024,man o' war
"Red, White, and Royal Blue","McQuiston, Casey",,,,Virginia,Hanover County Public Schools,2023-2024,"red, white, and royal blue"
The Wind-Up Bird Chronicle,"Murakami, Haruki",,,"Rubin, Jay",Virginia,Hanover County Public Schools,2023-2024,the wind-up bird chronicle
Dead End,"Myers, Jason",,,,Virginia,Hanover County Public Schools,2023-2024,dead end
Exit Here.,"Myers, Jason",,,,Virginia,Hanover County Public Schools,2023-2024,exit here.
Shine,"Myracle, Lauren",,,,Virginia,Hanover County Public Schools,2023-2024,shine
The Infinite Moment of Us,"Myracle, Lauren",,,,Virginia,Hanover County Public Schools,2023-2024,the infinite moment of us
ttfn,"Myracle, Lauren",,,,Virginia,Hanover County Public Schools,2023-2024,ttfn
yolo,"Myracle, Lauren",,,,Virginia,Hanover County Public Schools,2023-2024,yolo
Like a Love Story,"Nazemian, Abdi",,,,Virginia,Hanover County Public Schools,2023-2024,like a love story
Everything I Never Told You,"Ng, Celeste",,,,Virginia,Hanover County Public Schools,2023-2024,everything i never told you
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,Virginia,Hanover County Public Schools,2023-2024,neanderthal opens the door to the universe
Out of Darkness,"Pérez, Ashley Hope",,,,Virginia,Hanover County Public Schools,2023-2024,out of darkness
grl2grl,"Peters, Julie Anne",,,,Virginia,Hanover County Public Schools,2023-2024,grl2grl
Nineteen Minutes,"Picoult, Jodi",,,,Virginia,Hanover County Public Schools,2023-2024,nineteen minutes
Juliet Takes a Breath,"Rivera, Gabby",,,,Virginia,Hanover County Public Schools,2023-2024,juliet takes a breath
Jack of Hearts (and other parts),"Rosen, L. C.",,,,Virginia,Hanover County Public Schools,2023-2024,jack of hearts
The Midnight Lie,"Rutkoski, Marie",,,,Virginia,Hanover County Public Schools,2023-2024,the midnight lie
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",,,,Virginia,Hanover County Public Schools,2023-2024,i am not your perfect mexican daughter
Jesus Land: A Memoir,"Scheeres, Julia",,,,Virginia,Hanover County Public Schools,2023-2024,jesus land: a memoir
The Invisible Life of Addie LaRue,"Schwab, V. E.",,,,Virginia,Hanover County Public Schools,2023-2024,the invisible life of addie larue
