Title,Author,sex or gender,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range
Storm and Fury,Jennifer Armentrout,female,,,,Florida,Bay District Schools,2023-2024
Oryx and Crake,Margaret Atwood,female,,,,Florida,Bay District Schools,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Florida,Bay District Schools,2023-2024
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,female,,"Nault, Renee",,Florida,Bay District Schools,2023-2024
Fun Home,Alison Bechdel,female,,,,Florida,Bay District Schools,2023-2024
Flamer,Mike Curato,male,,,,Florida,Bay District Schools,2023-2024
A Stolen Life,Jaycee Lee Dugard,female,,,,Florida,Bay District Schools,2023-2024
The Carnival at Bray,Jessie Ann Foley,female,,,,Florida,Bay District Schools,2023-2024
Wrecked,E.R. Frank,female,,,,Florida,Bay District Schools,2023-2024
Friction,E.R. Frank,female,,,,Florida,Bay District Schools,2023-2024
It Ends With Us,Colleen Hoover,female,,,,Florida,Bay District Schools,2023-2024
Fallout,Ellen Hopkins,female,,,,Florida,Bay District Schools,2023-2024
Glass,Ellen Hopkins,female,,,,Florida,Bay District Schools,2023-2024
Impulse,Ellen Hopkins,female,,,,Florida,Bay District Schools,2023-2024
Smoke,Ellen Hopkins,female,,,,Florida,Bay District Schools,2023-2024
When Aidan Became a Brother,Kyle Lukoff,trans man,,"Juanita, Kaylani",,Florida,Bay District Schools,2023-2024
Boy Toy,Barry Lyga,male,,,,Florida,Bay District Schools,2023-2024
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Florida,Bay District Schools,2023-2024
Crown of Midnight,Sarah J. Maas,female,,,,Florida,Bay District Schools,2023-2024
Empire of Storms,Sarah J. Maas,female,,,,Florida,Bay District Schools,2023-2024
Queen of Shadows,Sarah J. Maas,female,,,,Florida,Bay District Schools,2023-2024
Sold,Patricia McCormick,female,,,,Florida,Bay District Schools,2023-2024
Gone (LM),Lisa McMann,female,,,,Florida,Bay District Schools,2023-2024
Kissing Kate,Lauren Myracle,female,,,,Florida,Bay District Schools,2023-2024
ttyl,Lauren Myracle,female,,,,Florida,Bay District Schools,2023-2024
yolo,Lauren Myracle,female,,,,Florida,Bay District Schools,2023-2024
All the Bright Places,Jennifer Niven,female,,,,Florida,Bay District Schools,2023-2024
The Nowhere Girls,Amy Reed,female,,,,Florida,Bay District Schools,2023-2024
When I Was the Greatest,"Reynolds, Jason",,,,,Florida,Bay District Schools,2023-2024
Juliet Takes a Breath,Gabby Rivera,female,,,,Florida,Bay District Schools,2023-2024
Normal People,Sally Rooney,female,,,,Florida,Bay District Schools,2023-2024
Stealing Heaven,Elizabeth Scott,female,,,,Florida,Bay District Schools,2023-2024
The Lovely Bones,Alice Sebold,female,,,,Florida,Bay District Schools,2023-2024
Slaughterhouse-Five,Kurt Vonnegut,male,,,,Florida,Bay District Schools,2023-2024
The Kingdom of Little Wounds,Susann Cokal,female,,,,Florida,Brevard Public Schools,2023-2024
Dark Sons,Nikki Grimes,female,,,,Florida,Brevard Public Schools,2023-2024
Sasaki and Miyano,Shō Harusono,female,,"Kim, Dayeun","Harvey, Leighann",Florida,Brevard Public Schools,2023-2024
Allegedly,Tiffany D. Jackson,female,,,,Florida,Brevard Public Schools,2023-2024
Blood Water Paint,Joy McCullough,female,,,,Florida,Brevard Public Schools,2023-2024
Lost Gospels and Hidden Codes: New Concepts of Scripture,"McIntosh, Kenneth",,,,,Florida,Brevard Public Schools,2023-2024
East of Eden,John Steinbeck,male,,,,Florida,Brevard Public Schools,2023-2024
Billy Graham: World-Famous Evangelist,"Wooten, Sara McIntosh",,,,,Florida,Brevard Public Schools,2023-2024
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,female,,"Nault, Renee",,Florida,Broward County Public Schools,2023-2024
Forever...,Judy Blume,female,,,,Florida,Broward County Public Schools,2023-2024
Identical,Ellen Hopkins,female,,,,Florida,Broward County Public Schools,2023-2024
Tricks,Ellen Hopkins,female,,,,Florida,Broward County Public Schools,2023-2024
All Boys Aren't Blue,George M. Johnson,non-binary,,,,Florida,Broward County Public Schools,2023-2024
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Florida,Broward County Public Schools,2023-2024
Kaffir Boy: An Autobiography - The True Story of a Black Youth's Coming of Age in Apartheid South Africa,Mark Mathabane,male,,,,Florida,Broward County Public Schools,2023-2024
Choke (CP),Chuck Palahniuk,male,,,,Florida,Broward County Public Schools,2023-2024
Jack of Hearts (and other parts),"Rosen, L. C.",,,,,Florida,Broward County Public Schools,2023-2024
Lucky (AS),Alice Sebold,female,,,,Florida,Broward County Public Schools,2023-2024
Front Desk,Kelly Yang,female,,,,Florida,Broward County Public Schools,2023-2024
Clap When You Land,Elizabeth Acevedo,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Poet X,Elizabeth Acevedo,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,male,,"Forney, Ellen",,Florida,Charlotte County Public Schools,2023-2024
Speak,Laurie Halse Anderson,female,,,,Florida,Charlotte County Public Schools,2023-2024
Speak: The Graphic Novel,Laurie Halse Anderson,female,,"Carroll, Emily",,Florida,Charlotte County Public Schools,2023-2024
Me and Earl and the Dying Girl,Jesse Andrews,male,,,,Florida,Charlotte County Public Schools,2023-2024
I Know Why The Caged Bird Sings,Maya Angelou,female,,,,Florida,Charlotte County Public Schools,2023-2024
Thirteen Reasons Why,Jay Asher,male,,,,Florida,Charlotte County Public Schools,2023-2024
Oryx and Crake,Margaret Atwood,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Florida,Charlotte County Public Schools,2023-2024
Cinderella is Dead,Kalynn Bayron,female,,,,Florida,Charlotte County Public Schools,2023-2024
Forever...,Judy Blume,female,,,,Florida,Charlotte County Public Schools,2023-2024
Graceling,Kristin Cashore,female,,,,Florida,Charlotte County Public Schools,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Florida,Charlotte County Public Schools,2023-2024
Killing Mr. Griffin,Lois Duncan,female,,,,Florida,Charlotte County Public Schools,2023-2024
Breathing Underwater,Alex Flinn,female,,,,Florida,Charlotte County Public Schools,2023-2024
Extremely Loud and Incredibly Close,Jonathan Safran Foer,male,,,,Florida,Charlotte County Public Schools,2023-2024
Picture Us In the Light,"Gilbert, Kelly Loy",,,,,Florida,Charlotte County Public Schools,2023-2024
Ban This Book,Alan Gratz,male,,,,Florida,Charlotte County Public Schools,2023-2024
Looking for Alaska,John Green,male,,,,Florida,Charlotte County Public Schools,2023-2024
The Fault in Our Stars,John Green,male,,,,Florida,Charlotte County Public Schools,2023-2024
"Will Grayson, Will Grayson",John Green,male,"Levithan, David",,,Florida,Charlotte County Public Schools,2023-2024
