Title,Author,sex or gender,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range
Too Bright to See,Kyle Lukoff,trans man,,,,Iowa,Pocahontas Area Community School District,2023-2024
Sold,Patricia McCormick,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
Breaking Dawn,Stephenie Meyer,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
Twilight,Stephenie Meyer,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
Beloved,Toni Morrison,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
1984,George Orwell,male,,,,Iowa,Pocahontas Area Community School District,2023-2024
Animal Farm,George Orwell,male,,,,Iowa,Pocahontas Area Community School District,2023-2024
Where the Crawdads Sing,Delia Owens,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
Out of Darkness,Ashley Hope Pérez,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
This Day in June,Gayle E. Pitman,female,,"Litten, Kristyna",,Iowa,Pocahontas Area Community School District,2023-2024
The Catcher in the Rye,J. D. Salinger,male,,,,Iowa,Pocahontas Area Community School District,2023-2024
I Am Not Your Perfect Mexican Daughter,Erika Sánchez,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
The Hate U Give,Angie Thomas,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
The Color Purple,"Walker, Alice",,,,,Iowa,Pocahontas Area Community School District,2023-2024
"Everything, Everything",Nicola Yoon,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
The Sun is Also a Star,Nicola Yoon,female,,,,Iowa,Pocahontas Area Community School District,2023-2024
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,male,,"Forney, Ellen",,Iowa,Red Oak School District,2023-2024
Me and Earl and the Dying Girl,Jesse Andrews,male,,,,Iowa,Red Oak School District,2023-2024
Thirteen Reasons Why,Jay Asher,male,,,,Iowa,Red Oak School District,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Iowa,Red Oak School District,2023-2024
The Chocolate War,Robert Cormier,male,,,,Iowa,Red Oak School District,2023-2024
Daughters of Eve,Lois Duncan,female,,,,Iowa,Red Oak School District,2023-2024
Looking for Alaska,John Green,male,,,,Iowa,Red Oak School District,2023-2024
Crank,Ellen Hopkins,female,,,,Iowa,Red Oak School District,2023-2024
Flowers for Algernon,"Keyes, Daniel",,,,,Iowa,Red Oak School District,2023-2024
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Iowa,Red Oak School District,2023-2024
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Iowa,Red Oak School District,2023-2024
A Court of Mist and Fury,Sarah J. Maas,female,,,,Iowa,Red Oak School District,2023-2024
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Iowa,Red Oak School District,2023-2024
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Iowa,Red Oak School District,2023-2024
"The Earth, My Butt, and Other Big Round Things",Carolyn Mackler,female,,,,Iowa,Red Oak School District,2023-2024
Sold,Patricia McCormick,female,,,,Iowa,Red Oak School District,2023-2024
Lawn Boy (GP),Gary Paulsen,male,,,,Iowa,Red Oak School District,2023-2024
Out of Darkness,Ashley Hope Pérez,female,,,,Iowa,Red Oak School District,2023-2024
My Sister's Keeper,Jodi Picoult,female,,,,Iowa,Red Oak School District,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Iowa,Red Oak School District,2023-2024
"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,female,,,,Iowa,Red Oak School District,2023-2024
I Am Not Your Perfect Mexican Daughter,Erika Sánchez,female,,,,Iowa,Red Oak School District,2023-2024
What My Mother Doesn't Know,"Sones, Sonya",,,,,Iowa,Red Oak School District,2023-2024
This One Summer,Mariko Tamaki,female,,"Tamaki, Jillian",,Iowa,Red Oak School District,2023-2024
The Hate U Give,Angie Thomas,female,,,,Iowa,Red Oak School District,2023-2024
The Color Purple,"Walker, Alice",,,,,Iowa,Red Oak School District,2023-2024
The Glass Castle,Jeannette Walls,female,,,,Iowa,Red Oak School District,2023-2024
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,male,,"Forney, Ellen",,Iowa,Riceville Community School District,2023-2024
Speak,Laurie Halse Anderson,female,,,,Iowa,Riceville Community School District,2023-2024
Thirteen Reasons Why,Jay Asher,male,,,,Iowa,Riceville Community School District,2023-2024
Crank,Ellen Hopkins,female,,,,Iowa,Riceville Community School District,2023-2024
Identical,Ellen Hopkins,female,,,,Iowa,Riceville Community School District,2023-2024
Perfect (EH),Ellen Hopkins,female,,,,Iowa,Riceville Community School District,2023-2024
Tricks,Ellen Hopkins,female,,,,Iowa,Riceville Community School District,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Iowa,Riceville Community School District,2023-2024
Living Dead Girl,Elizabeth Scott,female,,,,Iowa,Riceville Community School District,2023-2024
Speak,Laurie Halse Anderson,female,,,,Iowa,Ridge View Community School District,2023-2024
I Know Why The Caged Bird Sings,Maya Angelou,female,,,,Iowa,Ridge View Community School District,2023-2024
Thirteen Reasons Why,Jay Asher,male,,,,Iowa,Ridge View Community School District,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Iowa,Ridge View Community School District,2023-2024
Emergency Contact,Mary H.K. Choi,female,,,,Iowa,Ridge View Community School District,2023-2024
A Stolen Life,Jaycee Lee Dugard,female,,,,Iowa,Ridge View Community School District,2023-2024
Looking for Alaska,John Green,male,,,,Iowa,Ridge View Community School District,2023-2024
All Your Perfects,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Confess,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Finding Cinderella,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Hopeless,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
It Ends With Us,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
It Starts with Us,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Losing Hope,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Maybe Not,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Maybe Now,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Maybe Someday,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
November 9,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Point of Retreat,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Slammed,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Ugly Love,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Without Merit,Colleen Hoover,female,,,,Iowa,Ridge View Community School District,2023-2024
Burned (EH),Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Crank,Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Fallout,Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Glass,Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Identical,Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Impulse,Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Perfect (EH),Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Rumble,Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Smoke,Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Tilt (EH),Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Traffick,Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
Tricks,Ellen Hopkins,female,,,,Iowa,Ridge View Community School District,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Iowa,Ridge View Community School District,2023-2024
Allegedly,Tiffany D. Jackson,female,,,,Iowa,Ridge View Community School District,2023-2024
The Honeys,Ryan La Sala,,,,,Iowa,Ridge View Community School District,2023-2024
Empire of Storms,Sarah J. Maas,female,,,,Iowa,Ridge View Community School District,2023-2024
Kingdom of Ash,Sarah J. Maas,female,,,,Iowa,Ridge View Community School District,2023-2024
Queen of Shadows,Sarah J. Maas,female,,,,Iowa,Ridge View Community School District,2023-2024
Tower of Dawn,Sarah J. Maas,female,,,,Iowa,Ridge View Community School District,2023-2024
Unravel Me,Tahereh Mafi,female,,,,Iowa,Ridge View Community School District,2023-2024
A Clash of Kings,George R. R. Martin,male,,,,Iowa,Ridge View Community School District,2023-2024
A Game of Thrones,George R. R. Martin,male,,,,Iowa,Ridge View Community School District,2023-2024
Sold,Patricia McCormick,female,,,,Iowa,Ridge View Community School District,2023-2024
Fade,Lisa McMann,female,,,,Iowa,Ridge View Community School District,2023-2024
Vampire Academy,Richelle Mead,female,,,,Iowa,Ridge View Community School District,2023-2024
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,,Iowa,Ridge View Community School District,2023-2024
Where the Crawdads Sing,Delia Owens,female,,,,Iowa,Ridge View Community School District,2023-2024
"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,male,,,,Iowa,Ridge View Community School District,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Iowa,Ridge View Community School District,2023-2024
I Am Not Your Perfect Mexican Daughter,Erika Sánchez,female,,,,Iowa,Ridge View Community School District,2023-2024
Living Dead Girl,Elizabeth Scott,female,,,,Iowa,Ridge View Community School District,2023-2024
Lucky (AS),Alice Sebold,female,,,,Iowa,Ridge View Community School District,2023-2024
The Lovely Bones,Alice Sebold,female,,,,Iowa,Ridge View Community School District,2023-2024
Go Ask Alice,Beatrice Sparks,female,Anonymous,,,Iowa,Ridge View Community School District,2023-2024
The Art of Racing in the Rain,Garth Stein,male,,,,Iowa,Ridge View Community School District,2023-2024
Shiver,Maggie Stiefvater,female,,,,Iowa,Ridge View Community School District,2023-2024
Concrete Rose,Angie Thomas,female,,,,Iowa,Ridge View Community School District,2023-2024
The Hate U Give,Angie Thomas,female,,,,Iowa,Ridge View Community School District,2023-2024
Slaughterhouse-Five,Kurt Vonnegut,male,,,,Iowa,Ridge View Community School District,2023-2024
The Color Purple,"Walker, Alice",,,,,Iowa,Ridge View Community School District,2023-2024
Me and Earl and the Dying Girl,Jesse Andrews,male,,,,Iowa,River Valley Community School District,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Iowa,River Valley Community School District,2023-2024
Water for Elephants,Sara Gruen,female,,,,Iowa,River Valley Community School District,2023-2024
Burned (EH),Ellen Hopkins,female,,,,Iowa,River Valley Community School District,2023-2024
Crank,Ellen Hopkins,female,,,,Iowa,River Valley Community School District,2023-2024
Glass,Ellen Hopkins,female,,,,Iowa,River Valley Community School District,2023-2024
Impulse,Ellen Hopkins,female,,,,Iowa,River Valley Community School District,2023-2024
Monday's Not Coming,Tiffany D. Jackson,female,,,,Iowa,River Valley Community School District,2023-2024
Empire of Storms,Sarah J. Maas,female,,,,Iowa,River Valley Community School District,2023-2024
A Clash of Kings,George R. R. Martin,male,,,,Iowa,River Valley Community School District,2023-2024
A Game of Thrones,George R. R. Martin,male,,,,Iowa,River Valley Community School District,2023-2024
Sold,Patricia McCormick,female,,,,Iowa,River Valley Community School District,2023-2024
All Boys Aren't Blue,George M. Johnson,non-binary,,,,Iowa,Riverside Community School District,2023-2024
Me and Earl and the Dying Girl,Jesse Andrews,male,,,,Iowa,Roland-Story Community School District,2023-2024
Thirteen Reasons Why,Jay Asher,male,,,,Iowa,Roland-Story Community School District,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Iowa,Roland-Story Community School District,2023-2024
Forever...,Judy Blume,female,,,,Iowa,Roland-Story Community School District,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Iowa,Roland-Story Community School District,2023-2024
As I Lay Dying,"Faulkner, William",,,,,Iowa,Roland-Story Community School District,2023-2024
Looking for Alaska,John Green,male,,,,Iowa,Roland-Story Community School District,2023-2024
Water for Elephants,Sara Gruen,female,,,,Iowa,Roland-Story Community School District,2023-2024
Identical,Ellen Hopkins,female,,,,Iowa,Roland-Story Community School District,2023-2024
Perfect (EH),Ellen Hopkins,female,,,,Iowa,Roland-Story Community School District,2023-2024
Tricks,Ellen Hopkins,female,,,,Iowa,Roland-Story Community School District,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Iowa,Roland-Story Community School District,2023-2024
Brave New World,Aldous Huxley,male,,,,Iowa,Roland-Story Community School District,2023-2024
Empire of Storms,Sarah J. Maas,female,,,,Iowa,Roland-Story Community School District,2023-2024
Wicked,Gregory Maguire,male,,,,Iowa,Roland-Story Community School District,2023-2024
Sold,Patricia McCormick,female,,,,Iowa,Roland-Story Community School District,2023-2024
Beloved,Toni Morrison,female,,,,Iowa,Roland-Story Community School District,2023-2024
Song of Solomon,Toni Morrison,female,,,,Iowa,Roland-Story Community School District,2023-2024
The Bluest Eye,Toni Morrison,female,,,,Iowa,Roland-Story Community School District,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Iowa,Roland-Story Community School District,2023-2024
I Am Not Your Perfect Mexican Daughter,Erika Sánchez,female,,,,Iowa,Roland-Story Community School District,2023-2024
The Color Purple,"Walker, Alice",,,,,Iowa,Roland-Story Community School District,2023-2024
Native Son,"Wright, Richard",,,,,Iowa,Roland-Story Community School District,2023-2024
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,male,,"Forney, Ellen",,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
Me and Earl and the Dying Girl,Jesse Andrews,male,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
Looking for Alaska,John Green,male,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
"Hey, Kiddo: How I Lost My Mother, Found My Father, and Dealt with Family Addiction",Jarrett J. Krosoczka,male,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
Sold,Patricia McCormick,female,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
Living Dead Girl,Elizabeth Scott,female,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
Drama: A Graphic Novel,Raina Telgemeier,female,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
The Hate U Give,Angie Thomas,female,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
The Glass Castle,Jeannette Walls,female,,,,Iowa,Rudd-Rockford-Marble Rock Community School District,2023-2024
Me and Earl and the Dying Girl,Jesse Andrews,male,,,,Iowa,Saydel Community School District,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Iowa,Saydel Community School District,2023-2024
Forever...,Judy Blume,female,,,,Iowa,Saydel Community School District,2023-2024
The Miseducation of Cameron Post,Emily M. Danforth,female,,,,Iowa,Saydel Community School District,2023-2024
Looking for Alaska,John Green,male,,,,Iowa,Saydel Community School District,2023-2024
The Fault in Our Stars,John Green,male,,,,Iowa,Saydel Community School District,2023-2024
Identical,Ellen Hopkins,female,,,,Iowa,Saydel Community School District,2023-2024
Tricks,Ellen Hopkins,female,,,,Iowa,Saydel Community School District,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Iowa,Saydel Community School District,2023-2024
Brave New World,Aldous Huxley,male,,,,Iowa,Saydel Community School District,2023-2024
Milk and Honey,Rupi Kaur,female,,,,Iowa,Saydel Community School District,2023-2024
The Sun and Her Flowers,Rupi Kaur,female,,,,Iowa,Saydel Community School District,2023-2024
Sold,Patricia McCormick,female,,,,Iowa,Saydel Community School District,2023-2024
The Female of the Species,Mindy McGinnis,female,,,,Iowa,Saydel Community School District,2023-2024
Breaking Dawn,Stephenie Meyer,female,,,,Iowa,Saydel Community School District,2023-2024
Beloved,Toni Morrison,female,,,,Iowa,Saydel Community School District,2023-2024
Shine,Lauren Myracle,female,,,,Iowa,Saydel Community School District,2023-2024
Breathless (JN),Jennifer Niven,female,,,,Iowa,Saydel Community School District,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Iowa,Saydel Community School District,2023-2024
I Am Not Your Perfect Mexican Daughter,Erika Sánchez,female,,,,Iowa,Saydel Community School District,2023-2024
The Color Purple,"Walker, Alice",,,,,Iowa,Saydel Community School District,2023-2024
Clap When You Land,Elizabeth Acevedo,female,,,,Iowa,Shenandoah Community School District,2023-2024
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,male,,"Forney, Ellen",,Iowa,Shenandoah Community School District,2023-2024
Speak,Laurie Halse Anderson,female,,,,Iowa,Shenandoah Community School District,2023-2024
Twisted,Laurie Halse Anderson,female,,,,Iowa,Shenandoah Community School District,2023-2024
Me and Earl and the Dying Girl,Jesse Andrews,male,,,,Iowa,Shenandoah Community School District,2023-2024
Thirteen Reasons Why,Jay Asher,male,,,,Iowa,Shenandoah Community School District,2023-2024
Oryx and Crake,Margaret Atwood,female,,,,Iowa,Shenandoah Community School District,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Iowa,Shenandoah Community School District,2023-2024
Go Tell It on the Mountain,"Baldwin, James",,,,,Iowa,Shenandoah Community School District,2023-2024
Nicholas Dane,Melvin Burgess,male,,,,Iowa,Shenandoah Community School District,2023-2024
Running with Scissors: A Memoir,Augusten Burroughs,male,,,,Iowa,Shenandoah Community School District,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Iowa,Shenandoah Community School District,2023-2024
Beyond the Chocolate War,Robert Cormier,male,,,,Iowa,Shenandoah Community School District,2023-2024
The Chocolate War,Robert Cormier,male,,,,Iowa,Shenandoah Community School District,2023-2024
Chinese Handcuffs,Chris Crutcher,male,,,,Iowa,Shenandoah Community School District,2023-2024
Running Loose,Chris Crutcher,male,,,,Iowa,Shenandoah Community School District,2023-2024
Just Listen,Sarah Dessen,female,,,,Iowa,Shenandoah Community School District,2023-2024
Lock and Key,Sarah Dessen,female,,,,Iowa,Shenandoah Community School District,2023-2024
A Yellow Raft in Blue Water,Michael Dorris,male,,,,Iowa,Shenandoah Community School District,2023-2024
Before I Die,Jenny Downham,female,,,,Iowa,Shenandoah Community School District,2023-2024
A Visit from the Goon Squad,"Egan, Jennifer",,,,,Iowa,Shenandoah Community School District,2023-2024
The Black Dahlia,James Ellroy,male,,,,Iowa,Shenandoah Community School District,2023-2024
Gone Girl,Gillian Flynn,female,,,,Iowa,Shenandoah Community School District,2023-2024
Going Bovine,"Gray, Libba",,,,,Iowa,Shenandoah Community School District,2023-2024
Looking for Alaska,John Green,male,,,,Iowa,Shenandoah Community School District,2023-2024
Snow Falling on Cedars,David Guterson,male,,,,Iowa,Shenandoah Community School District,2023-2024
Roots: The Saga of an American Family,Alex Haley,male,,,,Iowa,Shenandoah Community School District,2023-2024
Collateral,Ellen Hopkins,female,,,,Iowa,Shenandoah Community School District,2023-2024
Crank,Ellen Hopkins,female,,,,Iowa,Shenandoah Community School District,2023-2024
Fallout,Ellen Hopkins,female,,,,Iowa,Shenandoah Community School District,2023-2024
Tilt (EH),Ellen Hopkins,female,,,,Iowa,Shenandoah Community School District,2023-2024
Triangles,Ellen Hopkins,female,,,,Iowa,Shenandoah Community School District,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Iowa,Shenandoah Community School District,2023-2024
Brave New World,Aldous Huxley,male,,,,Iowa,Shenandoah Community School District,2023-2024
Ulysses,"Joyce, James",,,,,Iowa,Shenandoah Community School District,2023-2024
On the Road,Jack Kerouac,male,,,,Iowa,Shenandoah Community School District,2023-2024
One Flew Over the Cuckoo's Nest,Ken Kesey,male,,,,Iowa,Shenandoah Community School District,2023-2024
Everybody Sees the Ants,A. S. King,female,,,,Iowa,Shenandoah Community School District,2023-2024
It,Stephen King,male,,,,Iowa,Shenandoah Community School District,2023-2024
The Unbearable Lightness of Being,Milan Kundera,male,,,,Iowa,Shenandoah Community School District,2023-2024
The Grace Year,Kim Liggett,female,,,,Iowa,Shenandoah Community School District,2023-2024
A Court of Mist and Fury,Sarah J. Maas,female,,,,Iowa,Shenandoah Community School District,2023-2024
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Iowa,Shenandoah Community School District,2023-2024
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Iowa,Shenandoah Community School District,2023-2024
Empire of Storms,Sarah J. Maas,female,,,,Iowa,Shenandoah Community School District,2023-2024
Kingdom of Ash,Sarah J. Maas,female,,,,Iowa,Shenandoah Community School District,2023-2024
"The Earth, My Butt, and Other Big Round Things",Carolyn Mackler,female,,,,Iowa,Shenandoah Community School District,2023-2024
Shatter Me,Tahereh Mafi,female,,,,Iowa,Shenandoah Community School District,2023-2024
Sold,Patricia McCormick,female,,,,Iowa,Shenandoah Community School District,2023-2024
The Female of the Species,Mindy McGinnis,female,,,,Iowa,Shenandoah Community School District,2023-2024
Beloved,Toni Morrison,female,,,,Iowa,Shenandoah Community School District,2023-2024
Song of Solomon,Toni Morrison,female,,,,Iowa,Shenandoah Community School District,2023-2024
The Bluest Eye,Toni Morrison,female,,,,Iowa,Shenandoah Community School District,2023-2024
The True Story of Hansel and Gretel: A Novel of War and Survival,"Murphy, Louise",,,,,Iowa,Shenandoah Community School District,2023-2024
The Infinite Moment of Us,Lauren Myracle,female,,,,Iowa,Shenandoah Community School District,2023-2024
The Sky Is Everywhere,Jandy Nelson,female,,,,Iowa,Shenandoah Community School District,2023-2024
Breathless (JN),Jennifer Niven,female,,,,Iowa,Shenandoah Community School District,2023-2024
Uprooted,Naomi Novik,female,,,,Iowa,Shenandoah Community School District,2023-2024
Asking for It,Louise O'Neill,female,,,,Iowa,Shenandoah Community School District,2023-2024
1984,George Orwell,male,,,,Iowa,Shenandoah Community School District,2023-2024
Where the Crawdads Sing,Delia Owens,female,,,,Iowa,Shenandoah Community School District,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Iowa,Shenandoah Community School District,2023-2024
"Gabi, a Girl in Pieces","Quintero, Isabel",,,,,Iowa,Shenandoah Community School District,2023-2024
Eleanor and Park,Rainbow Rowell,female,,,,Iowa,Shenandoah Community School District,2023-2024
The Casual Vacancy,J. K. Rowling,female,,,,Iowa,Shenandoah Community School District,2023-2024
Live Through This,"Scott, Mindi",,,,,Iowa,Shenandoah Community School District,2023-2024
Lucky (AS),Alice Sebold,female,,,,Iowa,Shenandoah Community School District,2023-2024
The Lovely Bones,Alice Sebold,female,,,,Iowa,Shenandoah Community School District,2023-2024
A Thousand Acres,"Smiley, Jane",,,,,Iowa,Shenandoah Community School District,2023-2024
The Alex Crow,"Smith, Andrew",,,,,Iowa,Shenandoah Community School District,2023-2024
Go Ask Alice,Beatrice Sparks,female,Anonymous,,,Iowa,Shenandoah Community School District,2023-2024
The Notebook,"Sparks, Nicholas",,,,,Iowa,Shenandoah Community School District,2023-2024
The Hate U Give,Angie Thomas,female,,,,Iowa,Shenandoah Community School District,2023-2024
"Rabbit, Run",John Updike,male,,,,Iowa,Shenandoah Community School District,2023-2024
The List,Siobhan Vivian,female,,,,Iowa,Shenandoah Community School District,2023-2024
Slaughterhouse-Five,Kurt Vonnegut,male,,,,Iowa,Shenandoah Community School District,2023-2024
The Color Purple,"Walker, Alice",,,,,Iowa,Shenandoah Community School District,2023-2024
The Underground Railroad,Colson Whitehead,male,,,,Iowa,Shenandoah Community School District,2023-2024
Native Son,"Wright, Richard",,,,,Iowa,Shenandoah Community School District,2023-2024
"Everything, Everything",Nicola Yoon,female,,,,Iowa,Shenandoah Community School District,2023-2024
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,male,,"Forney, Ellen",,Iowa,Sigourney Community School District,2023-2024
Speak,Laurie Halse Anderson,female,,,,Iowa,Sigourney Community School District,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Iowa,Sigourney Community School District,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Iowa,Sigourney Community School District,2023-2024
Life is Funny,E.R. Frank,female,,,,Iowa,Sigourney Community School District,2023-2024
Water for Elephants,Sara Gruen,female,,,,Iowa,Sigourney Community School District,2023-2024
Crank,Ellen Hopkins,female,,,,Iowa,Sigourney Community School District,2023-2024
Identical,Ellen Hopkins,female,,,,Iowa,Sigourney Community School District,2023-2024
Tilt (EH),Ellen Hopkins,female,,,,Iowa,Sigourney Community School District,2023-2024
Tricks,Ellen Hopkins,female,,,,Iowa,Sigourney Community School District,2023-2024
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Iowa,Sigourney Community School District,2023-2024
A Court of Mist and Fury,Sarah J. Maas,female,,,,Iowa,Sigourney Community School District,2023-2024
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Iowa,Sigourney Community School District,2023-2024
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Iowa,Sigourney Community School District,2023-2024
Sold,Patricia McCormick,female,,,,Iowa,Sigourney Community School District,2023-2024
"L8r, g8r",Lauren Myracle,female,,,,Iowa,Sigourney Community School District,2023-2024
yolo,Lauren Myracle,female,,,,Iowa,Sigourney Community School District,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Iowa,Sigourney Community School District,2023-2024
Living Dead Girl,Elizabeth Scott,female,,,,Iowa,Sigourney Community School District,2023-2024
The Gift (DS),Danielle Steel,female,,,,Iowa,Sigourney Community School District,2023-2024
Slaughterhouse-Five,Kurt Vonnegut,male,,,,Iowa,Sigourney Community School District,2023-2024
With the Fire on High,Elizabeth Acevedo,female,,,,Iowa,Sioux Center Community School District,2023-2024
Chasing Lucky,Jenn Bennett,female,,,,Iowa,Sioux Center Community School District,2023-2024
"Friday Night Lights: A Town, a Team, and a Dream",H. G. Bissinger,male,,,,Iowa,Sioux Center Community School District,2023-2024
Firekeeper's Daughter,Angeline Boulley,female,,,,Iowa,Sioux Center Community School District,2023-2024
Before the Devil Breaks You,Libba Bray,female,,,,Iowa,Sioux Center Community School District,2023-2024
Lair of Dreams,Libba Bray,female,,,,Iowa,Sioux Center Community School District,2023-2024
The Diviners,Libba Bray,female,,,,Iowa,Sioux Center Community School District,2023-2024
The King of Crows,Libba Bray,female,,,,Iowa,Sioux Center Community School District,2023-2024
A Heart in a Body in the World,Deb Caletti,female,,,,Iowa,Sioux Center Community School District,2023-2024
Bitterblue,Kristin Cashore,female,,"Schoenherr, Ian",,Iowa,Sioux Center Community School District,2023-2024
Fire,Kristin Cashore,female,,,,Iowa,Sioux Center Community School District,2023-2024
Graceling,Kristin Cashore,female,,,,Iowa,Sioux Center Community School District,2023-2024
Winterkeep,Kristin Cashore,female,,,,Iowa,Sioux Center Community School District,2023-2024
American Dirt,Jeanine Cummins,female,,,,Iowa,Sioux Center Community School District,2023-2024
All This Time,Mikki Daughtry,female,,,,Iowa,Sioux Center Community School District,2023-2024
Blink,"Dawn, Sasha",,,,,Iowa,Sioux Center Community School District,2023-2024
In Search of Us,Ava Dellaira,female,,,,Iowa,Sioux Center Community School District,2023-2024
Room,"Donoghue, Emma",,,,,Iowa,Sioux Center Community School District,2023-2024
Before I Die,Jenny Downham,female,,,,Iowa,Sioux Center Community School District,2023-2024
Girl in Pieces,Kathleen Glasgow,female,,,,Iowa,Sioux Center Community School District,2023-2024
Looking for Alaska,John Green,male,,,,Iowa,Sioux Center Community School District,2023-2024
Paper Towns,John Green,male,,,,Iowa,Sioux Center Community School District,2023-2024
The Fault in Our Stars,John Green,male,,,,Iowa,Sioux Center Community School District,2023-2024
What We Saw,"Hartzler, Aaron",,,,,Iowa,Sioux Center Community School District,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Iowa,Sioux Center Community School District,2023-2024
